index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote,de,en,la,added
036a1055f39e6d88e0fe59b48a2eb459,2026-07-01T17:17:01Z,'Vulkan ausgebrochen',www.morgenpost.de,de,0.8,Ätna auf Sizilien ausgebrochen: Video zeigt fantastische Bilder vom Vulkan,Glühende Lava strömt vom Ätna und bringt Siziliens Nächte zum Leuchten. Wie Touristen auf das Naturschauspiel reagieren.,https://www.morgenpost.de/panorama/article412450757/aetna-auf-sizilien-ausgebrochen-video-zeigt-fantastische-bilder-vom-vulkan.html,https://img.sparknews.funkemedien.de/412450787/412450787_1782926220_v16_9_1600.jpeg,,Glühende Lava erleuchtet die Ostküste Siziliens: Der Vulkan Ätna auf Sizilien (Italien) ist erneut ausgebrochen. Die Lava fließt seit Freitag aus einer Vulkanspalte. Damit ist Europas höchster aktive… [+1762 chars],,Ätna auf Sizilien ausgebrochen: Video zeigt fantastische Bilder vom Vulkan. Glühende Lava strömt vom Ätna und bringt Siziliens Nächte zum Leuchten. Wie Touristen auf das Naturschauspiel reagieren.,Etna erupted in Sicily: Video shows fantastic images of the volcano. Glowing lava flows from Etna and lights up Sicily's nights. How tourists react to the natural spectacle.,Aetna in Sicilia erupit: Video imagines volcani ostendit phantasticas. Fervens lava ex Aetna fluit et noctes Siciliae illuminat. Quomodo peregrinatores agunt ad spectaculum naturale.,2026-07-02 20:20:38+00:00
377ec52cf4b290c46968d2f5aeffef77,2026-07-01T11:04:00Z,'Vulkan ausgebrochen',www.focus.de,de,0.9,300 Meter hoch: Video zeigt explosive Lavafontäne,Eine 300 Meter hohe Lavafontäne ist in Hawaii aus dem Kilauea-Vulkan ausgebrochen. Die US-Geologiebehörde USGS veröffentlichte Webcam-Aufnahmen des Vorfalls.,https://www.focus.de/panorama/welt/300-meter-hoch-video-zeigt-explosive-lavafontaene_46ec0cfe-010f-4abe-8a80-75a947cb150e.html,"https://quadro.burda-forward.de/ctf/8525eadd-e881-4cfa-834a-4cc5dda2d48b.1dd58c6a-8dc6-4bce-9d8e-ddfa19fb140b.png?im=RegionOfInterestCrop=(1200,630),regionOfInterest=(1092,757)&hash=979a50d5db96e60326c8c2ae4c64dd4ed7bbb74cf13b7aebbb92c6a5dba7f94d",,"Zunächst sind in den Videos am Krater Gasflammen und ein geringer Lavaaustritt zu sehen. Dann schießt die Fontäne in die Luft. Wie die Behörde in einer Pressemitteilung mitteilte, erreichte die Lavaf… [+938 chars]",,300 Meter hoch: Video zeigt explosive Lavafontäne. Eine 300 Meter hohe Lavafontäne ist in Hawaii aus dem Kilauea-Vulkan ausgebrochen. Die US-Geologiebehörde USGS veröffentlichte Webcam-Aufnahmen des Vorfalls.,300 meters high: Video shows explosive lava fountain. A 300 meter high lava fountain has erupted from the Kilauea volcano in Hawaii. The US Geological Survey (USGS) released webcam footage of the incident.,300 metra alta: Video fontem lavae explosivae ostendit. Fons lavae altae 300 metrorum ex Kilauea vulcano in Hawaii erupit. US Geological Survey (USGS) dimisit webcam footagenarum incidentium.,2026-07-02 20:20:38+00:00
293f2c415e6375d0771797c0fe35d395,2026-07-05T04:00:00Z,'Vulkan Aschewolke',www.morgenpost.de,de,0.3,Forscher entschlüsseln Rollen aus Pompeji – „Stimmen schwiegen seit 2000 Jahren“,Lange waren die antiken Schriften unlesbar. Künstliche Intelligenz und Röntgentechnik entschlüsseln sie. Was in den Papyrusrollen steht.,https://www.morgenpost.de/panorama/article412451887/forscher-entschluesseln-rollen-aus-pompeji-stimmen-schwiegen-seit-2000-jahren.html,https://img.sparknews.funkemedien.de/412460636/412460636_1783183588_v16_9_1600.jpeg,,"Als im Jahr 79 n. Chr. der Vulkan Vesuv ausbrach, begrub dessen Asche nicht nur Pompeji unter sich. Auch die benachbarte antike Stadt Herculaneum samt einer Villa und ihrer Bibliothek versank unter L… [+1122 chars]",,Forscher entschlüsseln Rollen aus Pompeji – „Stimmen schwiegen seit 2000 Jahren“. Lange waren die antiken Schriften unlesbar. Künstliche Intelligenz und Röntgentechnik entschlüsseln sie. Was in den Papyrusrollen steht.,"Researchers decipher scrolls from Pompeii – “Voices have been silent for 2,000 years”. For a long time the ancient writings were illegible. Artificial intelligence and X-ray technology decode them. What is written in the papyrus rolls.","Investigatores libros e Pompeiano explicant - ""Vox 2000 annorum conticuerunt"". Scripta antiqua diu illegbilia fuerunt. Intelligentiae artificiales et technologiae X-ray eas decoxere. Quae scripta sunt in papyro rotulis.",2026-07-06 11:28:53+00:00
5d0011731897e26cd9ddc3d15b9d81fe,2026-07-05T13:42:41Z,'Vulkan Flughafen',www.zeit.de,de,0.8,Vulkan: Asche des Ätna behindert Betrieb am Flughafen Catania,Hier finden Sie Informationen zu dem Thema „Vulkan“. Lesen Sie jetzt „Asche des Ätna behindert Betrieb am Flughafen Catania“.,https://www.zeit.de/news/2026-07/05/asche-des-aetna-behindert-betrieb-am-flughafen-catania,https://img.zeit.de/news/2026-07/05/asche-des-aetna-behindert-betrieb-am-flughafen-catania-image-group/wide__1300x731,http://web.archive.org/web/20260706063845/https://www.zeit.de/news/2026-07/05/asche-des-aetna-behindert-betrieb-am-flughafen-catania,Wegen eines starken Ascheausstoßes des Vulkans Ätna auf der italienischen Mittelmeerinsel Sizilien ist der Flugverkehr am Flughafen Catania derzeit nur bedingt möglich. Nach Angaben der Flughafenbetr… [+1207 chars],,Vulkan: Asche des Ätna behindert Betrieb am Flughafen Catania. Hier finden Sie Informationen zu dem Thema „Vulkan“. Lesen Sie jetzt „Asche des Ätna behindert Betrieb am Flughafen Catania“.,Volcano: Ash from Mount Etna hinders operations at Catania Airport. Here you will find information on the subject of “Volcano”. Now read “Ashes from Etna hinder operations at Catania Airport”.,"Volcano: Cineres ex monte Etna operationes apud Airport Catania impedit. Hic reperies informationem de re ""Volcano"". Nunc legitur ""Cinis ab Aetna operationibus impedientibus ad Airport Catania"".",2026-07-08 05:23:47+00:00
5d855f0956341bd814f133f6a4b9ca9a,2026-07-05T13:43:37Z,'Vulkan Aschewolke',www.tagesspiegel.de,de,0.8,Vulkan: Asche des Ätna behindert Betrieb am Flughafen Catania,Wegen einer Aschewolke des Ätna ist der Flugverkehr in Catania eingeschränkt. Verbindungen müssen gestrichen oder umgeleitet werden.,https://www.tagesspiegel.de/gesellschaft/panorama/vulkan-asche-des-atna-behindert-betrieb-am-flughafen-catania-15803186.html,https://www.tagesspiegel.de/images/15803185/alternates/BASE_16_9_W1400/1783259017000/vulkan-atna-spuckt-asche.jpeg,http://web.archive.org/web/20260706073507/https://www.tagesspiegel.de/gesellschaft/panorama/vulkan-asche-des-atna-behindert-betrieb-am-flughafen-catania-15803186.html,Wegen eines starken Ascheausstoßes des Vulkans Ätna auf der italienischen Mittelmeerinsel Sizilien ist der Flugverkehr am Flughafen Catania derzeit nur bedingt möglich. Nach Angaben der Flughafenbetr… [+1263 chars],,Vulkan: Asche des Ätna behindert Betrieb am Flughafen Catania. Wegen einer Aschewolke des Ätna ist der Flugverkehr in Catania eingeschränkt. Verbindungen müssen gestrichen oder umgeleitet werden.,Volcano: Ash from Mount Etna hinders operations at Catania Airport. Air traffic in Catania is restricted due to an ash cloud from Mount Etna. Connections must be canceled or rerouted.,Volcano: Cineres ex monte Etna operationes apud Airport Catania impedit. Aer mercaturae in Catania restringitur ob nubem cineris ex monte Etna. Connexiones cassari vel circumagi debent.,2026-07-08 05:23:47+00:00
f616ff371135e68791f7613589f8a016,2026-07-05T15:46:40Z,'Vulkan Aschewolke',www.faz.net,de,0.8,Aktiver Vulkan: Aschewolke des Ätna schränkt Flugverkehr ein,Der Betrieb am Flughafen Catania wird durch einen starken Ausstoß des Vulkans auf der italienischen Mittelmeerinsel stark behindert. Auch eine Verbindung nach Deutschland ist betroffen.,https://www.faz.net/aktuell/gesellschaft/aetna-spuckt-asche-flugbetrieb-in-catania-auf-sizilien-eingeschraenkt-accg-201000053.html,https://media0.faz.net/image/w1200h627/7d59c97256d1/w4724h2468x0y340o/202607/43601.0.2301190214/blick-auf-eine-aschewolke-des.webp,,Wegen eines starken Ascheausstoßes des Vulkans Ätna auf der italienischen Mittelmeerinsel Sizilien ist der Flugverkehr am Flughafen Catania derzeit stark eingeschränkt. Nach Angaben der Flughafenbetr… [+1318 chars],,Aktiver Vulkan: Aschewolke des Ätna schränkt Flugverkehr ein. Der Betrieb am Flughafen Catania wird durch einen starken Ausstoß des Vulkans auf der italienischen Mittelmeerinsel stark behindert. Auch eine Verbindung nach Deutschland ist betroffen.,Active volcano: Ash cloud from Etna restricts air traffic. Operations at Catania Airport are being severely hampered by a strong eruption from the volcano on the Italian Mediterranean island. A connection to Germany is also affected.,Volcano activo: Cineres nubes ab Aetna mercaturam aeris restringit. Operationes apud Airport Catania graviter impediti sunt valida eruptione vulcani in insula Mediterraneo Italiae. Connexio ad Germaniam etiam afficitur.,2026-07-08 05:23:47+00:00
ff94586d4704aaa903dedd7b96278aa2,2026-07-07T10:47:23Z,'Vulkan Flughafen',www.zeit.de,de,0.8,Größter Vulkan Europas: Flughafen Catania nach Ascheregen von Ätna wieder in Betrieb,Hier finden Sie Informationen zu dem Thema „Größter Vulkan Europas“. Lesen Sie jetzt „Flughafen Catania nach Ascheregen von Ätna wieder in Betrieb“.,https://www.zeit.de/news/2026-07/07/flughafen-catania-nach-ascheregen-von-aetna-wieder-in-betrieb,https://img.zeit.de/news/2026-07/07/flughafen-catania-nach-ascheregen-von-aetna-wieder-in-betrieb-image-group/wide__1300x731,,Nach der vorübergehenden Sperrung wegen des Ascheregens am Vulkan Ätna auf der italienischen Mittelmeerinsel Sizilien ist der Flugbetrieb am Flughafen Catania wieder aufgenommen worden. Wie die Betre… [+952 chars],,Größter Vulkan Europas: Flughafen Catania nach Ascheregen von Ätna wieder in Betrieb. Hier finden Sie Informationen zu dem Thema „Größter Vulkan Europas“. Lesen Sie jetzt „Flughafen Catania nach Ascheregen von Ätna wieder in Betrieb“.,Largest volcano in Europe: Catania airport back in operation after ash fall from Etna. Here you will find information on the topic “Largest volcano in Europe”. Now read “Catania airport back in operation after Etna ashfall”.,"Volcano maximum in Europa: aeroportus Catania rursus in operatione post cineres ab Aetna cadunt. Hic informationes invenies in themate ""Maximi vulcano in Europa"". Nunc legitur ""Aeroportus Catania rursus in operatione post Etna ashfall"".",2026-07-09 10:26:43+00:00
c42b012cc6a613e5c229c5a007df3ac3,2026-07-07T10:48:12Z,'Vulkan Flughafen',www.tagesspiegel.de,de,0.8,Größter Vulkan Europas: Flughafen Catania nach Ascheregen von Ätna wieder in Betrieb,"Der Ätna spuckte Asche, Flüge fielen aus – auch nach Deutschland. Der Flughafen Catania ist wieder offen, der Betrieb soll sich normalisieren. Reisende sollten dennoch prüfen, ob ihre Flüge starten.",https://www.tagesspiegel.de/gesellschaft/panorama/grosster-vulkan-europas-flughafen-catania-nach-ascheregen-von-atna-wieder-in-betrieb-15811272.html,https://www.tagesspiegel.de/images/15811271/alternates/BASE_16_9_W1400/1783421292000/vulkan-atna-spuckt-asche.jpeg,,Nach der vorübergehenden Sperrung wegen des Ascheregens am Vulkan Ätna auf der italienischen Mittelmeerinsel Sizilien ist der Flugbetrieb am Flughafen Catania wieder aufgenommen worden. Wie die Betre… [+1006 chars],,"Größter Vulkan Europas: Flughafen Catania nach Ascheregen von Ätna wieder in Betrieb. Der Ätna spuckte Asche, Flüge fielen aus – auch nach Deutschland. Der Flughafen Catania ist wieder offen, der Betrieb soll sich normalisieren. Reisende sollten dennoch prüfen, ob ihre Flüge starten.",Largest volcano in Europe: Catania airport back in operation after ash fall from Etna. Mount Etna spewed ash and flights were canceled - including to Germany. Catania Airport is open again and operations are expected to return to normal. Travelers should still check whether their flights are taking off.,Volcano maximum in Europa: aeroportus Catania rursus in operatione post cineres ab Aetna cadunt. Montem Aetna evomuit cineres et fugas surum fecit - in Germania possidet. Aeroportus Catanae iterum aperta est et operationes ad normales reditus expectatae sunt. Viatores adhuc inspicias num fugae suae tollantur.,2026-07-09 10:26:43+00:00
9780cf45b29ff3e40b3fa53e2cddb789,2026-07-05T11:48:32Z,'Vulkan Warnstufe',orf.at,de,0.3,"Ätna rumort, Flughafen von Catania geschlossen",,https://orf.at/stories/3435324/,https://orf.at/mojo/1_4_1/storyserver//news/common/images/og-fallback-news.png,http://web.archive.org/web/20260705130708/https://orf.at/stories/3435324/,"Am Ätna ist es heute zu einem verstärkten Ascheausstoß gekommen. Die Aktivität nahm in der Früh zu und führte zu einer Eruptionswolke, die rund 1,5 Kilometer über den Gipfel des Vulkans aufstieg und … [+567 chars]",,"Ätna rumort, Flughafen von Catania geschlossen. None","Etna is rumbling, Catania airport closed. None","Aetna mugit, aeroportus Catania clausa est. Nullus",2026-07-10 06:06:21+00:00
4140c2b3eefa1445a056cb46a598cbf6,2026-07-05T11:56:07Z,'Vulkanausbruch',www.derstandard.at,de,0.9,Vulkanausbruch am Ätna schränkt Flugverkehr in Catania ein,Eruptionswolke über Europas größten Vulkan sorgt für Betriebseinschränkungen am Flughafen Catania,https://www.derstandard.at/story/3000000330145/196tna-rumort-flughafen-von-catania-geschlossen,https://i.ds.at/AN_jTQ/rs:fill:1200:600/plain/lido-images/2026/07/05/0b79be99-c44d-4e08-ba83-fb70a7fad263.jpg,http://web.archive.org/web/20260705123509/https://www.derstandard.at/story/3000000330145/196tna-rumort-flughafen-von-catania-geschlossen,"Sie entscheiden darüber, wie Sie unsere Inhalte nutzen wollen. Ihr Gerät erlaubt uns derzeit leider nicht, die entsprechenden Optionen anzuzeigen.
Bitte deaktivieren Sie sämtliche Hard- und Software… [+180 chars]",,Vulkanausbruch am Ätna schränkt Flugverkehr in Catania ein. Eruptionswolke über Europas größten Vulkan sorgt für Betriebseinschränkungen am Flughafen Catania,Volcanic eruption on Etna restricts air traffic in Catania. Eruption cloud over Europe's largest volcano causes operational restrictions at Catania Airport,eruptio vulcanica in Aetna mercaturam aeris in Catania restringit. Eruptio nubes in Europa maximae vulcano est causa operational restrictiones apud Catinam Airport,2026-07-10 06:06:21+00:00
